,upload,download,provedor,cidade,hora,data
0,55.23,91.82,BR27 Servicos de Tecnologia,Joao Pessoa,17:20,06/08/2020
1,77.31,103.99,BR27 Servicos de Tecnologia,Joao Pessoa,20:00,06/08/2020
2,75.83,100.88,BR27 Servicos de Tecnologia,Joao Pessoa,08:00,07/08/2020
3,81.65,106.32,BR27 Servicos de Tecnologia,Joao Pessoa,10:00,07/08/2020
4,73.45,101.28,BR27 Servicos de Tecnologia,Joao Pessoa,16:00,07/08/2020
5,78.25,101.46,BR27 Servicos de Tecnologia,Joao Pessoa,20:00,07/08/2020
6,81.35,107.38,DRNET,Joao Pessoa,10:00,08/08/2020
7,1.64,3.92,CABO Telecom,Joao Pessoa,16:00,08/08/2020
8,29.18,93.91,DRNET,Joao Pessoa,20:00,08/08/2020
9,32.12,89.33,DRNET,Joao Pessoa,10:00,09/08/2020
10,2.78,33.41,Eternal,Joao Pessoa,10:00,10/08/2020
11,39.74,87.59,CABO Telecom,Joao Pessoa,20:00,10/08/2020
12,79.65,112.97,CABO Telecom,Joao Pessoa,08:00,11/08/2020
13,84.59,110.42,CABO Telecom,Joao Pessoa,10:00,11/08/2020
14,86.27,110.65,CABO Telecom,Joao Pessoa,16:00,11/08/2020
15,77.79,101.71,sys3telecom,Joao Pessoa,20:00,11/08/2020
16,79.36,105.23,DRNET,Joao Pessoa,10:00,12/08/2020
17,78.5,104.98,sys3telecom,Joao Pessoa,16:00,12/08/2020
18,71.13,105.43,sys3telecom,Joao Pessoa,20:00,12/08/2020
19,75.39,107.75,CABO Telecom,Joao Pessoa,08:00,13/08/2020
20,83.06,110.47,CABO Telecom,Joao Pessoa,10:00,13/08/2020
21,83.87,105.4,CABO Telecom,Joao Pessoa,16:00,13/08/2020
22,95.45,110.83,CABO Telecom,Joao Pessoa,20:00,13/08/2020
23,87.89,113.61,CABO Telecom,Joao Pessoa,10:00,14/08/2020
24,84.74,107.36,CABO Telecom,Joao Pessoa,16:00,14/08/2020
25,68.92,101.38,sys3telecom,Joao Pessoa,20:00,14/08/2020
26,84.64,111.49,sys3telecom,Joao Pessoa,16:00,15/08/2020
27,17.3,79.8,sys3telecom,Joao Pessoa,20:00,15/08/2020
